2005-01,1519.6300048828125
2005-02,1511.02001953125
2005-03,1482.530029296875
2005-04,1420.7900390625
2005-05,1542.6300048828125
2005-06,1493.52001953125
2005-07,1605.1400146484375
2005-08,1581.7099609375
2005-09,1601.6600341796875
2005-10,1579.1800537109375
2005-11,1672.56005859375
2005-12,1645.199951171875
2006-01,1710.75
2006-02,1670.5699462890625
2006-03,1703.6600341796875
2006-04,1700.7099609375
2006-05,1579.5799560546875
2006-06,1575.22998046875
2006-07,1509.4300537109375
2006-08,1579.72998046875
2006-09,1654.1300048828125
2006-10,1732.5400390625
2006-11,1791.25
2006-12,1756.9000244140625
2007-01,1792.280029296875
2007-02,1761.5999755859375
2007-03,1772.3599853515625
2007-04,1867.75
2007-05,1928.18994140625
2007-06,1934.0999755859375
2007-07,1932.06005859375
2007-08,1988.72998046875
2007-09,2091.110107421875
2007-10,2238.97998046875
2007-11,2089.10009765625
2007-12,2084.929931640625
2008-01,1841.4200439453125
2008-02,1745.27001953125
2008-03,1781.9300537109375
2008-04,1917.699951171875
2008-05,2032.5699462890625
2008-06,1837.0899658203125
2008-07,1849.1500244140625
2008-08,1872.5400390625
2008-09,1594.6300048828125
2008-10,1334.780029296875
2008-11,1185.75
2008-12,1211.6500244140625
2009-01,1180.25
2009-02,1116.989990234375
2009-03,1237.010009765625
2009-04,1394.3299560546875
2009-05,1435.5699462890625
2009-06,1477.25
2009-07,1603.3599853515625
2009-08,1625.18994140625
2009-09,1718.989990234375
2009-10,1667.1300048828125
2009-11,1767.4300537109375
2009-12,1860.31005859375
2010-01,1741.0400390625
2010-02,1818.6800537109375
2010-03,1958.3399658203125
2010-04,2000.6300048828125
2010-05,1852.3900146484375
2010-06,1739.1400146484375
2010-07,1864.0
2010-08,1767.4300537109375
2010-09,1998.0400390625
2010-10,2124.449951171875
2010-11,2117.330078125
2010-12,2217.860107421875
2011-01,2281.909912109375
2011-02,2350.989990234375
2011-03,2338.989990234375
2011-04,2404.080078125
2011-05,2372.5400390625
2011-06,2325.070068359375
2011-07,2362.81005859375
2011-08,2241.010009765625
2011-09,2139.179931640625
2011-10,2360.080078125
2011-11,2295.199951171875
2011-12,2277.830078125
2012-01,2467.949951171875
2012-02,2623.10009765625
2012-03,2755.27001953125
2012-04,2723.679931640625
2012-05,2524.8701171875
2012-06,2615.719970703125
2012-07,2642.530029296875
2012-08,2772.239990234375
2012-09,2799.18994140625
2012-10,2647.919921875
2012-11,2677.8798828125
2012-12,2660.929931640625
2013-01,2731.530029296875
2013-02,2738.580078125
2013-03,2818.68994140625
2013-04,2887.43994140625
2013-05,2981.760009765625
2013-06,2909.60009765625
2013-07,3090.18994140625
2013-08,3073.81005859375
2013-09,3218.199951171875
2013-10,3377.72998046875
2013-11,3487.820068359375
2013-12,3592.0
2014-01,3521.919921875
2014-02,3696.10009765625
2014-03,3595.739990234375
2014-04,3582.02001953125
2014-05,3736.820068359375
2014-06,3849.47998046875
2014-07,3892.5
2014-08,4082.56005859375
2014-09,4049.449951171875
2014-10,4158.2099609375
2014-11,4337.7900390625
2014-12,4236.27978515625
2015-01,4148.43017578125
2015-02,4440.669921875
2015-03,4333.68994140625
2015-04,4414.25
2015-05,4508.25
2015-06,4396.759765625
2015-07,4588.91015625
2015-08,4274.580078125
2015-09,4181.06005859375
2015-10,4648.830078125
2015-11,4664.509765625
2015-12,4593.27001953125
2016-01,4279.169921875
2016-02,4201.1201171875
2016-03,4483.66015625
2016-04,4341.2998046875
2016-05,4523.89013671875
2016-06,4417.7001953125
2016-07,4730.22998046875
2016-08,4771.0498046875
2016-09,4875.7001953125
2016-10,4801.27001953125
2016-11,4810.81005859375
2016-12,4863.6201171875
2017-01,5116.77001953125
2017-02,5330.31005859375
2017-03,5436.22998046875
2017-04,5583.52978515625
2017-05,5788.7998046875
2017-06,5646.919921875
2017-07,5880.330078125
2017-08,5988.60009765625
2017-09,5979.2998046875
2017-10,6248.56005859375
2017-11,6365.56005859375
2017-12,6396.419921875
2018-01,6949.990234375
2018-02,6854.419921875
2018-03,6581.1298828125
2018-04,6605.56982421875
2018-05,6967.72998046875
2018-06,7040.7998046875
2018-07,7231.97998046875
2018-08,7654.5498046875
2018-09,7627.64990234375
2018-10,6967.10009765625
2018-11,6949.009765625
2018-12,6329.97021484375
2019-01,6906.83984375
2019-02,7097.52978515625
2019-03,7378.77001953125
2019-04,7781.4599609375
2019-05,7127.9599609375
2019-06,7671.080078125
2019-07,7848.77978515625
2019-08,7691.0
2019-09,7749.4501953125
2019-10,8083.830078125
2019-11,8403.6796875
2019-12,8733.0703125
2020-01,8991.509765625
2020-02,8461.830078125
2020-03,7813.5
2020-04,9000.509765625
2020-05,9555.5302734375
2020-06,10156.849609375
2020-07,10905.8798828125
2020-08,12110.7001953125
2020-09,11418.0595703125
2020-10,11052.9501953125
2020-11,12268.3203125
2020-12,12888.2802734375
2021-01,12925.3798828125
2021-02,12909.4404296875
2021-03,13091.4404296875
2021-04,13860.759765625
2021-05,13686.509765625
2021-06,14554.7998046875
2021-07,14959.900390625
2021-08,15582.509765625
2021-09,14689.6201171875
2021-10,15850.4697265625
2021-11,16135.919921875
