YearMonth,Adjusted close price
SP500,COTACAO:USD
2014-08,386.9440002441406
2014-09,338.3210144042969
2014-10,378.0469970703125
2014-11,320.1929931640625
2014-12,217.46400451660156
2015-01,254.26300048828125
2015-02,244.2239990234375
2015-03,236.14500427246094
2015-04,230.19000244140625
2015-05,263.0719909667969
2015-06,284.6499938964844
2015-07,230.05599975585938
2015-08,236.05999755859375
2015-09,314.1659851074219
2015-10,377.3210144042969
2015-11,430.5669860839844
2015-12,368.7669982910156
2016-01,437.6969909667969
2016-02,416.72900390625
2016-03,448.3179931640625
2016-04,531.385986328125
2016-05,673.3369750976562
2016-06,624.6810302734375
2016-07,575.4719848632812
2016-08,609.7349853515625
2016-09,700.9719848632812
2016-10,745.6909790039062
2016-11,963.7429809570312
2016-12,970.4030151367188
2017-01,1179.969970703125
2017-02,1071.7900390625
2017-03,1347.8900146484375
2017-04,2286.409912109375
2017-05,2480.840087890625
2017-06,2875.340087890625
2017-07,4703.39013671875
2017-08,4338.7099609375
2017-09,6468.39990234375
2017-10,10233.599609375
2017-11,14156.400390625
2017-12,10221.099609375
2018-01,10397.900390625
2018-02,6973.52978515625
2018-03,9240.5498046875
2018-04,7494.169921875
2018-05,6404.0
2018-06,7780.43994140625
2018-07,7037.580078125
2018-08,6625.56005859375
2018-09,6317.60986328125
2018-10,4017.2685546875
2018-11,3742.700439453125
2018-12,3457.792724609375
2019-01,3854.785400390625
2019-02,4105.404296875
2019-03,5350.7265625
2019-04,8574.501953125
2019-05,10817.1552734375
2019-06,10085.6279296875
2019-07,9630.6640625
2019-08,8293.8681640625
2019-09,9199.5849609375
2019-10,7569.6298828125
2019-11,7193.59912109375
2019-12,9350.529296875
2020-01,8599.5087890625
2020-02,6438.64453125
2020-03,8658.5537109375
2020-04,9461.05859375
2020-05,9137.9931640625
2020-06,11323.466796875
2020-07,11680.8203125
2020-08,10784.4912109375
2020-09,13780.9951171875
2020-10,19625.8359375
2020-11,29001.720703125
2020-12,33114.359375
2021-01,45137.76953125
2021-02,58918.83203125
2021-03,57750.17578125
2021-04,37332.85546875
2021-05,35040.8359375
2021-06,41626.1953125
2021-07,47166.6875
2021-08,43790.89453125
2021-09,61318.95703125
2021-10,57005.42578125
2021-11,46306.4453125
2021-12,38483.125
2022-01,43193.234375
2022-02,45538.67578125
2022-03,37714.875
2022-04,31792.310546875
2022-05,19784.7265625
2022-06,23336.896484375
2022-07,20049.763671875
2022-08,19431.7890625
2022-09,20495.7734375
2022-10,17168.56640625
2022-11,16547.49609375
2022-12,23139.283203125
2023-01,23147.353515625
2023-02,28478.484375
2023-03,29268.806640625
2023-04,27219.658203125
2023-05,30477.251953125
2023-06,29230.111328125
2023-07,25931.47265625
2023-08,26967.916015625
2023-09,34667.78125
2023-10,37712.74609375
2023-11,42265.1875
2023-12,42582.60546875
2024-01,61198.3828125
2024-02,71333.6484375
2024-03,60636.85546875
2024-04,67491.4140625
2024-05,62678.29296875
2024-06,64619.25
2024-07,58969.8984375
2024-08,63329.5
2024-09,70215.1875
2024-10,96449.0546875
2024-11,93429.203125
2024-12,102405.0234375
2025-01,84373.0078125
2025-02,82548.9140625
2025-03,94207.3125
2025-04,104638.09375
2025-05,107135.3359375
2025-06,115758.203125
2025-07,108236.7109375
2025-08,114056.0859375
2025-09,109556.1640625
2025-10,90394.3125
2025-11,87301.4296875
2025-12,87791.8515625
