YearMonth,Adjusted close price on the first business day of the month
DIVIDENDO,COTACAO:BRL
2012-01,30.700000762939453
2012-02,31.229999542236328
2012-03,33.689998626708984
2012-04,34.38999938964844
2012-05,34.349998474121094
2012-06,31.479999542236328
2012-07,33.150001525878906
2012-08,33.5
2012-09,32.09000015258789
2012-10,32.29999923706055
2012-11,33.099998474121094
2012-12,32.709999084472656
2013-01,36.130001068115234
2013-02,35.04999923706055
2013-03,34.119998931884766
2013-04,33.959999084472656
2013-05,33.86000061035156
2013-06,33.560001373291016
2013-07,31.049999237060547
2013-08,31.719999313354492
2013-09,32.400001525878906
2013-10,34.2599983215332
2013-11,36.0
2013-12,34.150001525878906
2014-01,33.29999923706055
2014-02,30.65999984741211
2014-03,30.479999542236328
2014-04,32.63999938964844
2014-05,34.209999084472656
2014-06,33.040000915527344
2014-07,34.130001068115234
2014-08,36.11000061035156
2014-09,39.0099983215332
2014-10,33.40999984741211
2014-11,31.799999237060547
2014-12,29.90999984741211
2015-01,27.010000228881836
2015-02,25.350000381469727
2015-03,27.0
2015-04,26.670000076293945
2015-05,30.290000915527344
2015-06,27.690000534057617
2015-07,26.59000015258789
2015-08,25.549999237060547
2015-09,22.309999465942383
2015-10,21.649999618530273
2015-11,23.90999984741211
2015-12,21.1200008392334
2016-01,20.0
2016-02,18.889999389648438
2016-03,20.940000534057617
2016-04,24.5
2016-05,27.280000686645508
2016-06,24.270000457763672
2016-07,25.899999618530273
2016-08,28.829999923706055
2016-09,30.010000228881836
2016-10,30.170000076293945
2016-11,33.150001525878906
2016-12,31.719999313354492
2017-01,32.650001525878906
2017-02,35.849998474121094
2017-03,38.63999938964844
2017-04,37.689998626708984
2017-05,38.70000076293945
2017-06,35.380001068115234
2017-07,35.5
2017-08,37.529998779296875
2017-09,40.0
2017-10,41.869998931884766
2017-11,41.779998779296875
2017-12,39.63999938964844
2018-01,41.81999969482422
2018-02,45.599998474121094
2018-03,45.5
2018-04,44.9900016784668
2018-05,44.0
2018-06,40.79999923706055
2018-07,37.959999084472656
2018-08,41.599998474121094
2018-09,39.45000076293945
2018-10,39.0
2018-11,45.0
2018-12,47.5
2019-01,49.45000076293945
2019-02,54.0
2019-03,51.90999984741211
2019-04,52.349998474121094
2019-05,53.29999923706055
2019-06,55.20000076293945
2019-07,56.79999923706055
2019-08,59.130001068115234
2019-09,59.29999923706055
2019-10,60.29999923706055
2019-11,62.349998474121094
2019-12,62.9900016784668
2020-01,70.12000274658203
2020-02,68.9000015258789
2020-03,65.5
2020-04,46.20000076293945
2020-05,48.040000915527344
2020-06,52.900001525878906
2020-07,57.84000015258789
2020-08,60.0
2020-09,58.29999923706055
2020-10,55.02000045776367
2020-11,55.95000076293945
2020-12,64.30000305175781
2021-01,68.5
2021-02,66.08999633789062
2021-03,61.18000030517578
2021-04,65.9800033569336
2021-05,67.69999694824219
2021-06,73.23999786376953
2021-07,70.01000213623047
2021-08,69.63999938964844
2021-09,69.37000274658203
2021-10,66.73999786376953
2021-11,64.0999984741211
2021-12,62.43000030517578
2022-01,63.86000061035156
2022-02,69.0999984741211
2022-03,67.9000015258789
2022-04,75.5999984741211
2022-05,69.30000305175781
2022-06,73.30000305175781
2022-07,67.5199966430664
2022-08,68.55000305175781
2022-09,72.05000305175781
2022-10,74.0199966430664
2022-11,73.9000015258789
2022-12,73.02999877929688
2023-01,71.19999694824219
2023-02,75.2300033569336
2023-03,71.0999984741211
2023-04,69.41999816894531
2023-05,70.87000274658203
2023-06,73.80000305175781
2023-07,79.94999694824219
2023-08,81.36000061035156
2023-09,80.69000244140625
2023-10,79.83000183105469
2023-11,79.19999694824219
2023-12,86.3499984741211
2024-01,91.44000244140625
2024-02,89.3499984741211
2024-03,89.69999694824219
2024-04,88.4000015258789
2024-05,89.69999694824219
2024-06,87.30999755859375
2024-07,89.1500015258789
2024-08,90.8499984741211
2024-09,96.69999694824219
2024-10,96.58999633789062
2024-11,93.81999969482422
2024-12,94.11000061035156
2025-01,89.4800033569336
2025-02,93.12000274658203
2025-03,91.02999877929688
2025-04,96.08999633789062
2025-05,98.54000091552734
2025-06,99.88999938964844
2025-07,102.55000305175781
