YearMonth,Adjusted close price on the first business day of the month
VNQ,COTACAO:USD
2004-09,20.250932693481445
2004-10,20.791234970092773
2004-11,21.782442092895508
2004-12,22.858970642089844
2005-01,23.216501235961914
2005-02,21.63799476623535
2005-03,22.39400863647461
2005-04,21.795591354370117
2005-05,23.023048400878906
2005-06,24.124393463134766
2005-07,25.16019630432129
2005-08,26.711454391479492
2005-09,25.874189376831055
2005-10,25.910123825073242
2005-11,24.68058967590332
2005-12,26.67103385925293
2006-01,26.824581146240234
2006-02,28.409500122070312
2006-03,28.9702091217041
2006-04,29.640920639038086
2006-05,28.783889770507812
2006-06,28.868261337280273
2006-07,30.307117462158203
2006-08,30.75140953063965
2006-09,31.80609893798828
2006-10,32.555572509765625
2006-11,34.31788635253906
2006-12,36.17082595825195
2007-01,35.62649917602539
2007-02,38.846378326416016
2007-03,37.27108383178711
2007-04,37.100990295410156
2007-05,36.501625061035156
2007-06,36.73394775390625
2007-07,34.150089263916016
2007-08,31.026277542114258
2007-09,33.11979293823242
2007-10,34.79450225830078
2007-11,33.059532165527344
2007-12,31.0583553314209
2008-01,29.604595184326172
2008-02,30.696592330932617
2008-03,28.72521209716797
2008-04,32.105621337890625
2008-05,33.01124954223633
2008-06,31.706384658813477
2008-07,28.799026489257812
2008-08,29.746337890625
2008-09,30.624568939208984
2008-10,29.654821395874023
2008-11,20.068113327026367
2008-12,12.905570983886719
2009-01,18.118444442749023
2009-02,15.80806827545166
2009-03,11.500514030456543
2009-04,12.64408016204834
2009-05,16.068187713623047
2009-06,17.921611785888672
2009-07,16.789615631103516
2009-08,18.609594345092773
2009-09,19.780357360839844
2009-10,21.276052474975586
2009-11,21.276052474975586
2009-12,23.01188087463379
2010-01,24.2504825592041
2010-02,23.42853355407715
2010-03,24.500877380371094
2010-04,26.905920028686523
2010-05,29.6370849609375
2010-06,26.587839126586914
2010-07,25.648862838745117
2010-08,29.15323257446289
2010-09,28.754629135131836
2010-10,29.236875534057617
2010-11,30.733909606933594
2010-12,30.080354690551758
2011-01,31.849822998046875
2011-02,32.36373519897461
2011-03,32.798561096191406
2011-04,33.31046676635742
2011-05,35.221717834472656
2011-06,34.63015365600586
2011-07,35.0685920715332
2011-08,34.48919677734375
2011-09,32.5731315612793
2011-10,28.075904846191406
2011-11,32.5940055847168
2011-12,32.130611419677734
2012-01,34.25540542602539
2012-02,36.49263381958008
2012-03,35.93625259399414
2012-04,37.842708587646484
2012-05,39.0706672668457
2012-06,36.00665283203125
2012-07,39.374839782714844
2012-08,39.535545349121094
2012-09,39.99982452392578
2012-10,38.69202423095703
2012-11,38.81201934814453
2012-12,38.680023193359375
2013-01,40.456138610839844
2013-02,41.694976806640625
2013-03,42.09575653076172
2013-04,43.289642333984375
2013-05,45.700740814208984
2013-06,43.558902740478516
2013-07,42.363006591796875
2013-08,42.671913146972656
2013-09,39.5025634765625
2013-10,41.83452606201172
2013-11,43.324615478515625
2013-12,40.60007095336914
2014-01,40.884925842285156
2014-02,41.948673248291016
2014-03,44.81067657470703
2014-04,45.21181869506836
2014-05,46.68406295776367
2014-06,47.74837875366211
2014-07,48.39896774291992
2014-08,48.06448745727539
2014-09,49.65333557128906
2014-10,46.68690872192383
2014-11,51.731510162353516
2014-12,52.17949295043945
2015-01,54.10812759399414
2015-02,56.80630874633789
2015-03,55.18080139160156
2015-04,55.735694885253906
2015-05,52.94856643676758
2015-06,53.034637451171875
2015-07,50.768978118896484
2015-08,53.156314849853516
2015-09,48.562217712402344
2015-10,51.26974105834961
2015-11,55.10600280761719
2015-12,54.36306381225586
